ORIGIN_AIRPORT_ID,Description,Sum(PASSENGERS)
13594,"Mazatlan, Mexico: Mazatlan International",11807
11612,"Evansville, IN: Evansville Regional",11622
10685,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",11574
16149,"Ottawa, Canada: Ottawa Macdonald Cartier International",11519
13243,"Melbourne, Australia: Melbourne International",11471
14637,"Roatan Island, Honduras: Juan Manuel Galvez International",11426
13061,"Laredo, TX: Laredo International",11411
11124,"Cape Town, South Africa: Cape Town International",11323
10521,"Hamilton, Bermuda: L. F. Wade International",11049
13306,"Merida, Mexico: Merida International",10995
14794,"St. George, UT: St George Regional",10650
12320,"Wilmington, DE: New Castle",10642
14512,"Rockford, IL: Chicago/Rockford International",10594
10486,"Barranquilla, Colombia: Ernesto Cortissoz",10587
11950,"Grenada, Grenada: Maurice Bishop International",10577
10185,"Alexandria, LA: Alexandria International",10516
14674,"Santa Fe, NM: Santa Fe Municipal",10329
10551,"Bethel, AK: Bethel Airport",10318
14849,"St. Kitts, Saint Kitts and Nevis: Robert L Bradshaw International",9993
13043,"Lagos, Nigeria: Murtala Muhammed",9879
14879,"San Luis Potosi, Mexico: San Luis Potosi International",9423
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",9308
14711,"State College, PA: University Park",9243
12544,"Concord, NC: Concord Padgett Regional",9138
13795,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",9124
13029,"Lincoln, NE: Lincoln Airport",9070
14066,"Beijing, China: Capital International",9015
15628,"Vero Beach, FL: Vero Beach Regional",8769
11898,"Grand Forks, ND: Grand Forks International",8713
12012,"Gunnison, CO: Gunnison-Crested Butte Regional",8458
12884,"Lansing, MI: Capital Region International",8383
11369,"Doha, Qatar:  Hamad International",8340
12917,"Columbus, OH: Rickenbacker International",8339
12520,"Johannesburg, South Africa: Oliver Reginald Tambo International",8295
11337,"Duluth, MN: Duluth International",8241
10676,"Belleville, IL: Scott AFB MidAmerica St Louis",7898
14025,"Plattsburgh, NY: Plattsburgh International",7762
12156,"Helena, MT: Helena Regional",7490
13933,"Worcester, MA: Worcester Regional",7443
10210,"Aguascalientes, Mexico: Aguascalientes International",7304
14924,"Santa Clara, Cuba: Abel Santamaria International",7273
11455,"Dubai, United Arab Emirates: Dubai International",7185
13347,"Hoolehua, HI: Molokai",7159
14709,"Deadhorse, AK: Deadhorse Airport",6959
14955,"Saipan, TT: Francisco C. Ada Saipan International",6944
11534,"North Eleuthera, The Bahamas: North Eleuthera Airport",6923
11203,"Mosinee, WI: Central Wisconsin",6914
13377,"Monroe, LA: Monroe Regional",6847
11519,"Road Town, British Virgin Islands: Terrance B Lettsome",6812
11122,"Casper, WY: Casper/Natrona County International",6783
11907,"Moss Town, The Bahamas: Exuma International",6763
10136,"Abilene, TX: Abilene Regional",6737
12026,"Geneva, Switzerland: Geneva Airport",6731
14633,"Rochester, MN: Rochester International",6674
13184,"Saginaw/Bay City/Midland, MI: MBS International",6624
12819,"Ketchikan, AK: Ketchikan International",6411
13799,"Oaxaca, Mexico: Oaxaca International",6383
16869,"Williston, ND: Williston Basin International",6340
12180,"Holguin, Cuba: Frank Pais International",6299
12915,"Lake Charles, LA: Lake Charles Regional",6248
10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International",6199
11075,"Camaguey, Cuba: Ignacio Agramonte International",6140
11982,"Killeen, TX: Robert Gray AAF",6125
13290,"Manhattan/Ft. Riley, KS: Manhattan Regional",6107
13289,"Marsh Harbour, The Bahamas: Leonard M Thompson International",6105
13370,"Morelia, Mexico: Morelia International",6035
11537,"Elmira/Corning, NY: Elmira/Corning Regional",5971
15295,"Toledo, OH: Eugene F Kranz Toledo Express",5953
16042,"Edmonton, Canada: Edmonton International",5870
14487,"Redding, CA: Redding Regional",5841
10549,"Berlin, Germany: Berlin Metropolitan Area",5824
10696,"Brisbane, Australia: Brisbane International",5810
16218,"Yuma, AZ: Yuma MCAS/Yuma International",5788
11111,"Columbia, MO: Columbia Regional",5747
12265,"Niagara Falls, NY: Niagara Falls International",5523
10878,"Cap-Haitien, Haiti: Cap-Haitien International",5489
11488,"Edinburgh, United Kingdom: Edinburgh Airport",5466
11980,"Grand Island, NE: Central Nebraska Regional",5325
14228,"Papeete, French Polynesia: Tahiti Faa'a",5070
16232,"Winnipeg, Canada: James Armstrong Richardson International",5050
10717,"Bonaire, Bonaire, Sint Eustatius, and Saba: Flamingo International",4955
13139,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",4882
10590,"Bullhead City, AZ: Laughlin/Bullhead International",4866
14952,"Springfield, IL: Abraham Lincoln Capital",4865
14303,"Pullman, WA: Pullman Moscow Regional",4820
12223,"Ashland, WV: Tri-State/Milton J. Ferguson Field",4795
11049,"College Station/Bryan, TX: Easterwood Field",4758
15070,"Newburgh/Poughkeepsie, NY: New York Stewart International",4605
14098,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",4562
13095,"Loreto, Mexico: Loreto International",4505
11067,"Champaign/Urbana, IL: University of Illinois/Willard",4368
10170,"Kodiak, AK: Kodiak Airport",4160
11695,"Flagstaff, AZ: Flagstaff Pulliam",4120
14716,"Stockton, CA: Stockton Metro",4093
13970,"Kotzebue, AK: Ralph Wien Memorial",3994
12898,"Latrobe, PA: Arnold Palmer Regional",3975
14828,"Sitka, AK: Sitka Rocky Gutierrez",3957
13873,"Nome, AK: Nome Airport",3941
12397,"Ithaca/Cortland, NY: Ithaca Tompkins International",3936
16306,"Manzanillo, Mexico: Manzanillo International",3910
12966,"London, United Kingdom: London Gatwick",3902
13532,"Montevideo, Uruguay: Carrasco International",3882
13127,"Lewiston, ID: Lewiston Nez Perce County",3859
11778,"Fort Smith, AR: Fort Smith Regional",3857
11617,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",3838
14065,"Pereira, Colombia: Matecana",3814
11793,"Fukuoka, Japan: Fukuoka Airport",3788
11731,"Freeport, The Bahamas: Grand Bahama International",3787
14259,"Portsmouth, NH: Portsmouth International at Pease",3763
14704,"Salisbury, MD: Salisbury-Ocean City/Wicomico Regional",3743
11150,"Columbus, GA: Columbus Airport",3742
15411,"Tyler, TX: Tyler Pounds Regional",3731
11470,"Wenatchee, WA: Pangborn Memorial",3683
16101,"Yakima, WA: Yakima Air Terminal/McAllister Field",3650
12124,"Hilton Head, SC: Hilton Head Airport",3588
10444,"The Valley, Anguilla: Clayton J Lloyd",3578
15584,"Veracruz, Mexico: Veracruz International",3573
16163,"Quebec, Canada: Jean Lesage International",3569
11187,"Chihuahua, Mexico: Chihuahua International",3507
10155,"Waco, TX: Waco Regional",3419
11555,"Kenai, AK: Kenai Municipal",3308
15607,"Valdosta, GA: Valdosta Regional",3247
14842,"San Angelo, TX: San Angelo Regional/Mathis Field",3229
15008,"St. Cloud, MN: St. Cloud Regional",3213
12164,"Hermosillo, Mexico: Hermosillo International",3192
10287,"Amman, Jordan: Queen Alia International",3127
12007,"Columbus, MS: Golden Triangle Regional",3116
14588,"Roswell, NM: Roswell Air Center",3111
14092,"Greenville, NC: Pitt Greenville",3047
10448,"Armenia, Colombia: El Eden",2889
10731,"Brunswick, GA: Brunswick Golden Isles",2842
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional",2837
14722,"Santiago, Cuba: Antonio Maceo International",2836
11577,"Erie, PA: Erie International/Tom Ridge Field",2824
13694,"Nagoya, Japan: Chubu Centrair International",2811
16263,"Victoria, Canada: Victoria International",2809
11308,"Dothan, AL: Dothan Regional",2792
10754,"Barrow, AK: Wiley Post/Will Rogers Memorial",2791
15401,"Texarkana, AR: Texarkana Regional-Webb Field",2783
11301,"Durango, Mexico: Durango International",2764
13459,"Marquette, MI: Marquette Sawyer Regional",2760
12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",2728
15627,"Varadero, Cuba: Juan Gualberto Gomez International",2671
11097,"Cody, WY: Yellowstone Regional",2659
14222,"Pago Pago, TT: Pago Pago International",2643
10728,"Beaumont/Port Arthur, TX: Jack Brooks Regional",2581
11905,"Longview, TX: East Texas Regional",2519
11027,"Clarksburg/Fairmont, WV: North Central West Virginia",2449
16782,"Dakar Thies, Senegal: Blaise Diagne International",2435
12184,"Homer, AK: Homer Airport",2425
12119,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",2401
10275,"Walla Walla, WA: Walla Walla Regional",2372
14692,"Saint Barthelemy, Saint Barthelemy: Saint Barthelemy Airport",2335
11471,"Eau Claire, WI: Chippewa Valley Regional",2301
13034,"Lanai, HI: Lanai Airport",2250
10630,"Broomfield, CO: Rocky Mountain Metro",2237
11865,"Gillette, WY: Northeast Wyoming Regional",2227
15317,"Torreon, Mexico: Torreon International",2201
14691,"San Bernardino, CA: San Bernardino International",2168
15052,"St. Vincent, Saint Vincent and the Grenadines: E. T. Joshua",2162
15074,"Stillwater, OK: Stillwater Regional",2153
10146,"Albany, GA: Southwest Georgia Regional",2139
14113,"Pocatello, ID: Pocatello Regional",2123
10631,"Bemidji, MN: Bemidji Regional",2097
14812,"Sheridan, WY: Sheridan County",2071
15125,"Tampico, Mexico: Tampico International",2055
14278,"Pointe A Pitre, Guadeloupe: Le Raizet",2052
13076,"La Crosse, WI: La Crosse Regional",2041
15215,"Tinian, TT: Tinian International",1975
11372,"Marigot, Dominica: Douglas Charles",1963
11867,"Garden City, KS: Garden City Regional",1957
10141,"Aberdeen, SD: Aberdeen Regional",1956
10981,"Christchurch, New Zealand: Christchurch International",1950
12177,"Hobbs, NM: Lea County Regional",1942
11336,"Dillingham, AK: Dillingham Airport",1896
15048,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",1880
14237,"Prescott, AZ: Prescott Regional Ernest A Love Field",1879
14712,"Phoenix, AZ: Scottsdale",1836
14583,"Koror, Palau: Babelthuap",1835
14960,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",1803
13898,"Miami, FL: Miami Opa Locka Executive",1800
11233,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",1799
14470,"Fort Jefferson, FL: Fort Jefferson Airport",1798
14871,"Salem, OR: McNary Field",1795
11699,"Florence, SC: Florence Regional",1742
10577,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1740
10617,"Bishop, CA: Bishop Airport",1739
11315,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",1738
10559,"Seattle, WA: Boeing Field/King County International",1720
16115,"Kelowna, Canada: Kelowna Airport",1614
11013,"Sault Ste. Marie, MI: Chippewa County International",1546
11654,"Fort de France, Martinique: Martinique Aime Cesaire",1524
16293,"Zacatecas, Mexico: Zacatecas International",1443
15626,"Vieques, PR: Antonio Rivera Rodriguez",1420
14231,"Presque Isle/Houlton, ME: Presque Isle International",1418
11076,"Hancock/Houghton, MI: Houghton County Memorial",1397
14520,"Rhinelander, WI: Rhinelander/Oneida County",1385
10394,"Athens, Greece: Eleftherios Venizelos International",1350
12899,"North Platte, NE: North Platte Regional Airport Lee Bird Field",1340
14543,"Rock Springs, WY: Southwest Wyoming Regional",1328
12239,"Santa Cruz/Huatulco, Mexico: Bahias de Huatulco International",1326
11126,"Culebra, PR: Benjamin Rivera Noriega",1320
14534,"Riverton/Lander, WY: Central Wyoming Regional",1299
10661,"Boulder City, NV: Boulder City Municipal",1234
12335,"Iron Mountain/Kingsfd, MI: Ford",1232
10570,"Bucaramanga, Colombia: Palonegro",1228
10540,"Bedford, MA: Laurence G Hanscom Field",1226
14256,"Petersburg, AK: Petersburg James A Johnson",1193
10739,"Brainerd, MN: Brainerd Lakes Regional",1192
11869,"Grand Canyon, AZ: Grand Canyon National Park",1183
11525,"Elko, NV: Elko Regional",1169
13203,"Macon, GA: Middle Georgia Regional",1147
10361,"Watertown, NY: Watertown International",1132
15582,"Vernal, UT: Vernal Regional",1097
10779,"Butte, MT: Bert Mooney",1079
16443,"Cabo San Lucas, Mexico: Cabo San Lucas International",1079
12888,"Laramie, WY: Laramie Regional",1060
14186,"Pohnpei, Federated States of Micronesia: Pohnpei International",1059
11274,"Dubuque, IA: Dubuque Regional",1051
15237,"Chuuk, Federated States of Micronesia: Chuuk International",1047
13241,"Meridian, MS: Key Field",973
11041,"Carlsbad, CA: McClellan-Palomar",953
14485,"Red Dog, AK: Red Dog Airport",932
10910,"Concord, CA: Buchanan Field",931
10154,"Nantucket, MA: Nantucket Memorial",924
11587,"Escanaba, MI: Delta County",906
14905,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",897
12559,"Johnstown, PA: John Murtha Johnstown-Cambria County",888
11844,"Galena, AK: Edward G. Pitka Sr.",874
12129,"Hibbing, MN: Range Regional",860
14109,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",855
13176,"Mayaguez, PR: Eugenio Maria de Hostos",839
